
"Rivinumero","Tilauskoodi","Määrä","Tuotekuvaus","Valmistajan nimi ja osanumero","RoHS","Yksikköhinta","Saatavuus","Riviarvo","Rivihuomautus"

1,"1829265","10","DIODE, TVS, UNI, 6V, 400W, SOD123W","NXP - PTVS6V0S1UR","YES ","0.31","Varastossa","3.1",""
2,"1469440","5","IC, DRIVER, MOTOR, 13.3V, 1.OA, SMD","VISHAY SILICONIX - SI9986DY-T1-E3","YES ","4.84","Varastossa","24.2",""

3,"2332715","10","CAP MLCC, 0.1UF, 100V, X7R, 5%, 0805","AVX - 08051C104JAT2A","YES ","0.187","Varastossa","1.87",""
4,"2320853","10","CAP, MLCC, 1UF, 16V, X7R, 0805","MULTICOMP - MC0805B105K160CT","YES ","0.026","Varastossa","0.26",""

5,"2333586","10","RESISTOR THICK FILM, 100 OHM, 5%, 0805","BOURNS - CR0805-JW-101ELF","YES ","0.028","Varastossa","0.28",""
"","","","","","","","",""
"","","","","","","","Tuotteet yhteensä:","29.71"
"","","","","","","","Kampanja-alennus:","0.0"
"","","","","","","","Toimituskulut:","Tuntematon"
"","","","","","","","Tuotteet yhteensä:","29.71"
"","","","","","","","ALV:","7.13"
"","","","","","","","Loppusumma:","36.84"
